dimension,row_count,check
total_flights,7163557.0,row_count
Other_or_non_AA,2608517.0,operator_class_counts
AA_mainline,2259743.0,operator_class_counts
SkyWest_unresolved,715765.0,operator_class_counts
Envoy_operated,667724.0,operator_class_counts
PSA_operated,555390.0,operator_class_counts
Republic_unresolved,356418.0,operator_class_counts
DFW,1370628.0,hub_family_counts
ORD,1348281.0,hub_family_counts
CLT,878489.0,hub_family_counts
PHX,850138.0,hub_family_counts
LAX,794452.0,hub_family_counts
DCA,605000.0,hub_family_counts
JFK,456608.0,hub_family_counts
MIA,451968.0,hub_family_counts
PHL,407993.0,hub_family_counts
weather_bucket,0.0,null_rate
